,Topic_name,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords
24,24,70er/ABBA\Happy-New-Year.txt,4.0,0.5315,"away, day, go, come, time, run, look, night, like, home"
25,25,70er/ABBA\Hasta-Manana.txt,0.0,0.7593,"love, know, time, heart, want, way, feel, let, tell, life"
26,26,70er/ABBA\He-Is-Your-Brother.txt,0.0,0.4867,"love, know, time, heart, want, way, feel, let, tell, life"
27,27,70er/ABBA\Head-Over-Heels.txt,4.0,0.509,"away, day, go, come, time, run, look, night, like, home"
28,28,70er/ABBA\Hey-Hey-Helen.txt,0.0,0.5367,"love, know, time, heart, want, way, feel, let, tell, life"
29,29,70er/ABBA\Hole-In-Your-Soul.txt,2.0,0.5239,"to, going, get, got, like, come, right, ready, well, know"
30,30,70er/ABBA\Honey-Honey.txt,6.0,0.6444,"baby, come, want, get, let, wanna, girl, to, love, know"
31,31,70er/ABBA\I'm-A-Marionette.txt,5.0,0.3088,"get, know, say, good, tell, man, go, way, hey, time"
32,32,70er/ABBA\I'm-Still-Alive.txt,4.0,0.4079,"away, day, go, come, time, run, look, night, like, home"
33,33,70er/ABBA\I've-Been-Waiting-For-You.txt,0.0,0.5829,"love, know, time, heart, want, way, feel, let, tell, life"
34,34,70er/ABBA\I-Am-An-A.txt,3.0,0.2911,"little, man, boy, like, play, old, life, mother, song, sing"
35,35,70er/ABBA\I-Am-Just-A-Girl.txt,1.0,0.6016,"la, hear, sing, lord, come, time, people, song, god, world"
36,36,70er/ABBA\I-Am-The-City.txt,4.0,0.3096,"away, day, go, come, time, run, look, night, like, home"
37,37,70er/ABBA\I-Can-Be-That-Woman.txt,0.0,0.2986,"love, know, time, heart, want, way, feel, let, tell, life"
38,38,"70er/ABBA\I-Do,-I-Do,-I-Do,-I-Do,-I-Do.txt",0.0,0.9663,"love, know, time, heart, want, way, feel, let, tell, life"
39,39,70er/ABBA\I-Have-A-Dream.txt,0.0,0.3401,"love, know, time, heart, want, way, feel, let, tell, life"
40,40,70er/ABBA\I-Let-The-Music-Speak.txt,7.0,0.412,"lie, eye, light, cold, night, burn, die, high, soul, fire"
41,41,70er/ABBA\I-Saw-It-In-The-Mirror.txt,0.0,0.3182,"love, know, time, heart, want, way, feel, let, tell, life"
42,42,70er/ABBA\I-Still-Have-Faith-In-You.txt,0.0,0.5224,"love, know, time, heart, want, way, feel, let, tell, life"
43,43,70er/ABBA\I-Wonder-(Departure).txt,4.0,0.526,"away, day, go, come, time, run, look, night, like, home"
44,44,70er/ABBA\If-It-Wasn't-For-The-Nights.txt,0.0,0.2863,"love, know, time, heart, want, way, feel, let, tell, life"
45,45,70er/ABBA\Just-A-Notion.txt,2.0,0.5636,"to, going, get, got, like, come, right, ready, well, know"
46,46,70er/ABBA\Just-Like-That.txt,4.0,0.4773,"away, day, go, come, time, run, look, night, like, home"
47,47,70er/ABBA\Keep-An-Eye-On-Dan.txt,0.0,0.4227,"love, know, time, heart, want, way, feel, let, tell, life"
48,48,70er/ABBA\King-Kong-Song.txt,2.0,0.3878,"to, going, get, got, like, come, right, ready, well, know"
49,49,70er/ABBA\Kisses-Of-Fire.txt,7.0,0.6015,"lie, eye, light, cold, night, burn, die, high, soul, fire"
50,50,70er/ABBA\Knowing-Me-Knowing-You.txt,4.0,0.5782,"away, day, go, come, time, run, look, night, like, home"
51,51,70er/ABBA\Lay-All-Your-Love-On-Me.txt,0.0,0.5253,"love, know, time, heart, want, way, feel, let, tell, life"
52,52,70er/ABBA\Like-An-Angel-Passing-Through-My-Room.txt,4.0,0.6587,"away, day, go, come, time, run, look, night, like, home"
53,53,70er/ABBA\Little-Things.txt,3.0,0.3006,"little, man, boy, like, play, old, life, mother, song, sing"
54,54,70er/ABBA\Love-Isn't-Easy-(But-It-Sure-Is-Hard-Enough).txt,0.0,0.7098,"love, know, time, heart, want, way, feel, let, tell, life"
55,55,70er/ABBA\Lovelight.txt,4.0,0.4926,"away, day, go, come, time, run, look, night, like, home"
56,56,70er/ABBA\Lovers-(Live-A-Little-Longer).txt,0.0,0.5286,"love, know, time, heart, want, way, feel, let, tell, life"
57,57,70er/ABBA\Mamma-Mia.txt,0.0,0.5241,"love, know, time, heart, want, way, feel, let, tell, life"
58,58,70er/ABBA\Man-In-The-Middle.txt,5.0,0.6264,"get, know, say, good, tell, man, go, way, hey, time"
59,59,70er/ABBA\Me-And-Bobby-And-Bobby's-Brother.txt,4.0,0.3529,"away, day, go, come, time, run, look, night, like, home"
60,60,70er/ABBA\Me-And-I.txt,4.0,0.4039,"away, day, go, come, time, run, look, night, like, home"
61,61,70er/ABBA\Merry-Go-Round.txt,0.0,0.6465,"love, know, time, heart, want, way, feel, let, tell, life"
62,62,70er/ABBA\Money-Money-Money.txt,5.0,0.3596,"get, know, say, good, tell, man, go, way, hey, time"
63,63,70er/ABBA\Move-On.txt,1.0,0.9659,"la, hear, sing, lord, come, time, people, song, god, world"
64,64,70er/ABBA\My-Love-My-Life.txt,0.0,0.5385,"love, know, time, heart, want, way, feel, let, tell, life"
65,65,70er/ABBA\My-Mama-Said.txt,5.0,0.4875,"get, know, say, good, tell, man, go, way, hey, time"
66,66,"70er/ABBA\Nina,-Pretty-Ballerina.txt",4.0,0.6084,"away, day, go, come, time, run, look, night, like, home"
67,67,70er/ABBA\No-Doubt-About-It.txt,5.0,0.5162,"get, know, say, good, tell, man, go, way, hey, time"
68,68,70er/ABBA\Ode-To-Freedom.txt,1.0,0.3701,"la, hear, sing, lord, come, time, people, song, god, world"
69,69,70er/ABBA\On-And-On-And-On.txt,5.0,0.6444,"get, know, say, good, tell, man, go, way, hey, time"
70,70,"70er/ABBA\One-Man,-One-Woman.txt",0.0,0.6394,"love, know, time, heart, want, way, feel, let, tell, life"
71,71,70er/ABBA\One-Of-Us.txt,0.0,0.5157,"love, know, time, heart, want, way, feel, let, tell, life"
72,72,70er/ABBA\Our-Last-Summer.txt,4.0,0.6399,"away, day, go, come, time, run, look, night, like, home"
73,73,70er/ABBA\People-Need-Love.txt,1.0,0.5796,"la, hear, sing, lord, come, time, people, song, god, world"
74,74,70er/ABBA\Put-On-Your-White-Sombrero.txt,7.0,0.3987,"lie, eye, light, cold, night, burn, die, high, soul, fire"
75,75,70er/ABBA\Ring-Ring.txt,4.0,0.2727,"away, day, go, come, time, run, look, night, like, home"
76,76,70er/ABBA\Rock-'n-Roll-Band.txt,0.0,0.3848,"love, know, time, heart, want, way, feel, let, tell, life"
77,77,70er/ABBA\Rock-Me.txt,6.0,0.9875,"baby, come, want, get, let, wanna, girl, to, love, know"
78,78,70er/ABBA\S.-O.-S..txt,0.0,0.9781,"love, know, time, heart, want, way, feel, let, tell, life"
79,79,70er/ABBA\Santa-Rosa.txt,0.0,0.4121,"love, know, time, heart, want, way, feel, let, tell, life"
80,80,70er/ABBA\She's-My-Kind-Of-Girl.txt,0.0,0.5569,"love, know, time, heart, want, way, feel, let, tell, life"
81,81,70er/ABBA\Should-I-Laugh-Or-Cry.txt,7.0,0.592,"lie, eye, light, cold, night, burn, die, high, soul, fire"
82,82,70er/ABBA\Sitting-In-The-Palmtree.txt,4.0,0.3207,"away, day, go, come, time, run, look, night, like, home"
83,83,70er/ABBA\Slipping-Through-My-Fingers.txt,4.0,0.4792,"away, day, go, come, time, run, look, night, like, home"
84,84,70er/ABBA\So-Long.txt,2.0,0.3739,"to, going, get, got, like, come, right, ready, well, know"
85,85,70er/ABBA\Soldiers.txt,0.0,0.2295,"love, know, time, heart, want, way, feel, let, tell, life"
86,86,70er/ABBA\Summer-Night-City.txt,4.0,0.3648,"away, day, go, come, time, run, look, night, like, home"
87,87,70er/ABBA\Super-Trouper.txt,2.0,0.386,"to, going, get, got, like, come, right, ready, well, know"
88,88,70er/ABBA\Suzy-Hang-Around.txt,5.0,0.4835,"get, know, say, good, tell, man, go, way, hey, time"
89,89,70er/ABBA\Take-A-Chance-On-Me.txt,0.0,0.3929,"love, know, time, heart, want, way, feel, let, tell, life"
90,90,70er/ABBA\Thank-You-For-The-Music.txt,1.0,0.3086,"la, hear, sing, lord, come, time, people, song, god, world"
91,91,70er/ABBA\That's-Me.txt,0.0,0.476,"love, know, time, heart, want, way, feel, let, tell, life"
92,92,70er/ABBA\The-Day-Before-You-Came.txt,4.0,0.5147,"away, day, go, come, time, run, look, night, like, home"
93,93,70er/ABBA\The-King-Has-Lost-His-Crown.txt,0.0,0.701,"love, know, time, heart, want, way, feel, let, tell, life"
94,94,70er/ABBA\The-Name-Of-The-Game.txt,0.0,0.706,"love, know, time, heart, want, way, feel, let, tell, life"
95,95,70er/ABBA\The-Piper.txt,4.0,0.4891,"away, day, go, come, time, run, look, night, like, home"
96,96,70er/ABBA\The-Visitors.txt,4.0,0.3457,"away, day, go, come, time, run, look, night, like, home"
97,97,70er/ABBA\The-Way-Old-Friends-Do.txt,0.0,0.5314,"love, know, time, heart, want, way, feel, let, tell, life"
98,98,70er/ABBA\The-Winner-Takes-It-All.txt,0.0,0.4483,"love, know, time, heart, want, way, feel, let, tell, life"
99,99,70er/ABBA\Tiger.txt,7.0,0.5406,"lie, eye, light, cold, night, burn, die, high, soul, fire"
100,100,70er/ABBA\Tropical-Loveland.txt,4.0,0.3492,"away, day, go, come, time, run, look, night, like, home"
101,101,70er/ABBA\Two-For-The-Price-Of-One.txt,4.0,0.3513,"away, day, go, come, time, run, look, night, like, home"
102,102,70er/ABBA\Under-Attack.txt,0.0,0.678,"love, know, time, heart, want, way, feel, let, tell, life"
103,103,70er/ABBA\Voulez-Vous.txt,2.0,0.4822,"to, going, get, got, like, come, right, ready, well, know"
104,104,70er/ABBA\Watch-Out.txt,2.0,0.5008,"to, going, get, got, like, come, right, ready, well, know"
105,105,70er/ABBA\Waterloo.txt,0.0,0.7905,"love, know, time, heart, want, way, feel, let, tell, life"
106,106,70er/ABBA\What-About-Livingstone.txt,5.0,0.4312,"get, know, say, good, tell, man, go, way, hey, time"
107,107,70er/ABBA\When-All-Is-Said-And-Done.txt,5.0,0.3583,"get, know, say, good, tell, man, go, way, hey, time"
108,108,70er/ABBA\When-I-Kissed-The-Teacher.txt,2.0,0.4146,"to, going, get, got, like, come, right, ready, well, know"
109,109,70er/ABBA\When-You-Danced-With-Me.txt,4.0,0.3392,"away, day, go, come, time, run, look, night, like, home"
110,110,70er/ABBA\Why-Did-It-Have-To-Be-Me.txt,0.0,0.6179,"love, know, time, heart, want, way, feel, let, tell, life"
111,111,70er/ABBA\You-Owe-Me-One.txt,0.0,0.2264,"love, know, time, heart, want, way, feel, let, tell, life"
112,112,70er/ACDC\Ain't-No-Fun-(Waiting-Round-To-Be-A-Millionaire).txt,5.0,0.5615,"get, know, say, good, tell, man, go, way, hey, time"
113,113,70er/ACDC\All-Screwed-Up.txt,2.0,0.5848,"to, going, get, got, like, come, right, ready, well, know"
114,114,70er/ACDC\Alright-Tonight.txt,6.0,0.9416,"baby, come, want, get, let, wanna, girl, to, love, know"
115,115,70er/ACDC\Anything-Goes.txt,6.0,0.3938,"baby, come, want, get, let, wanna, girl, to, love, know"
116,116,70er/ACDC\Are-You-Ready.txt,2.0,0.5292,"to, going, get, got, like, come, right, ready, well, know"
117,117,"70er/ACDC\Baby,-Please-Don't-Go.txt",5.0,0.4466,"get, know, say, good, tell, man, go, way, hey, time"
118,118,70er/ACDC\Back-In-Black.txt,2.0,0.4338,"to, going, get, got, like, come, right, ready, well, know"
119,119,70er/ACDC\Back-In-Business.txt,2.0,0.9899,"to, going, get, got, like, come, right, ready, well, know"
120,120,70er/ACDC\Back-Seat-Confidential.txt,5.0,0.4308,"get, know, say, good, tell, man, go, way, hey, time"
121,121,70er/ACDC\Bad-Boy-Boogie.txt,5.0,0.5207,"get, know, say, good, tell, man, go, way, hey, time"
122,122,70er/ACDC\Badlands.txt,2.0,0.6337,"to, going, get, got, like, come, right, ready, well, know"
123,123,70er/ACDC\Ballbreaker.txt,2.0,0.7562,"to, going, get, got, like, come, right, ready, well, know"
124,124,70er/ACDC\Baptism-By-Fire.txt,2.0,0.5561,"to, going, get, got, like, come, right, ready, well, know"
125,125,70er/ACDC\Beating-Around-The-Bush.txt,0.0,0.4128,"love, know, time, heart, want, way, feel, let, tell, life"
126,126,70er/ACDC\Bedlam-In-Belgium.txt,2.0,0.7163,"to, going, get, got, like, come, right, ready, well, know"
127,127,70er/ACDC\Big-Balls.txt,2.0,0.7434,"to, going, get, got, like, come, right, ready, well, know"
128,128,70er/ACDC\Big-Gun.txt,2.0,0.8503,"to, going, get, got, like, come, right, ready, well, know"
129,129,70er/ACDC\Big-Jack.txt,2.0,0.5069,"to, going, get, got, like, come, right, ready, well, know"
130,130,70er/ACDC\Black-Ice.txt,2.0,0.4461,"to, going, get, got, like, come, right, ready, well, know"
131,131,70er/ACDC\Bonny.txt,5.0,0.6759,"get, know, say, good, tell, man, go, way, hey, time"
132,132,70er/ACDC\Boogie-Man.txt,2.0,0.6007,"to, going, get, got, like, come, right, ready, well, know"
133,133,70er/ACDC\Borrowed-Time.txt,2.0,0.498,"to, going, get, got, like, come, right, ready, well, know"
134,134,70er/ACDC\Brain-Shake.txt,2.0,0.5235,"to, going, get, got, like, come, right, ready, well, know"
135,135,70er/ACDC\Breaking-The-Rules.txt,2.0,0.9733,"to, going, get, got, like, come, right, ready, well, know"
136,136,70er/ACDC\Burnin'-Alive.txt,2.0,0.677,"to, going, get, got, like, come, right, ready, well, know"
137,137,70er/ACDC\C.O.D..txt,2.0,0.4905,"to, going, get, got, like, come, right, ready, well, know"
138,138,70er/ACDC\Can't-Stand-Still.txt,5.0,0.8306,"get, know, say, good, tell, man, go, way, hey, time"
139,139,70er/ACDC\Can't-Stop-Rock-'N'-Roll.txt,5.0,0.4048,"get, know, say, good, tell, man, go, way, hey, time"
140,140,70er/ACDC\Can-I-Sit-Next-To-You-Girl.txt,5.0,0.8328,"get, know, say, good, tell, man, go, way, hey, time"
141,141,70er/ACDC\Carry-Me-Home.txt,5.0,0.6342,"get, know, say, good, tell, man, go, way, hey, time"
142,142,70er/ACDC\Caught-With-Your-Pants-Down.txt,2.0,0.8256,"to, going, get, got, like, come, right, ready, well, know"
143,143,70er/ACDC\Code-Red.txt,2.0,0.5181,"to, going, get, got, like, come, right, ready, well, know"
144,144,70er/ACDC\Cold-Hearted-Man.txt,0.0,0.5345,"love, know, time, heart, want, way, feel, let, tell, life"
145,145,70er/ACDC\Come-And-Get-It.txt,2.0,0.5676,"to, going, get, got, like, come, right, ready, well, know"
146,146,70er/ACDC\Cover-You-In-Oil.txt,2.0,0.5009,"to, going, get, got, like, come, right, ready, well, know"
147,147,70er/ACDC\Crabsody-In-Blue.txt,2.0,0.5014,"to, going, get, got, like, come, right, ready, well, know"
148,148,70er/ACDC\Damned.txt,2.0,0.5541,"to, going, get, got, like, come, right, ready, well, know"
149,149,70er/ACDC\Danger.txt,4.0,0.3992,"away, day, go, come, time, run, look, night, like, home"
150,150,70er/ACDC\Decibel.txt,7.0,0.3697,"lie, eye, light, cold, night, burn, die, high, soul, fire"
151,151,70er/ACDC\Deep-In-The-Hole.txt,7.0,0.717,"lie, eye, light, cold, night, burn, die, high, soul, fire"
152,152,70er/ACDC\Demon-Fire.txt,7.0,0.5346,"lie, eye, light, cold, night, burn, die, high, soul, fire"
153,153,70er/ACDC\Dirty-Deeds-Done-Dirt-Cheap.txt,5.0,0.6909,"get, know, say, good, tell, man, go, way, hey, time"
154,154,70er/ACDC\Dirty-Eyes.txt,7.0,0.4471,"lie, eye, light, cold, night, burn, die, high, soul, fire"
155,155,70er/ACDC\Dog-Eat-Dog.txt,2.0,0.4908,"to, going, get, got, like, come, right, ready, well, know"
156,156,70er/ACDC\Dogs-Of-War.txt,2.0,0.725,"to, going, get, got, like, come, right, ready, well, know"
157,157,70er/ACDC\Down-On-The-Borderline.txt,2.0,0.2977,"to, going, get, got, like, come, right, ready, well, know"
158,158,70er/ACDC\Down-Payment-Blues.txt,5.0,0.4944,"get, know, say, good, tell, man, go, way, hey, time"
159,159,70er/ACDC\Emission-Control.txt,2.0,0.6122,"to, going, get, got, like, come, right, ready, well, know"
160,160,70er/ACDC\Evil-Walks.txt,7.0,0.8353,"lie, eye, light, cold, night, burn, die, high, soul, fire"
161,161,70er/ACDC\Fire-Your-Guns.txt,2.0,0.7799,"to, going, get, got, like, come, right, ready, well, know"
162,162,70er/ACDC\First-Blood.txt,6.0,0.6465,"baby, come, want, get, let, wanna, girl, to, love, know"
163,163,70er/ACDC\Flick-Of-The-Switch.txt,2.0,0.7697,"to, going, get, got, like, come, right, ready, well, know"
164,164,70er/ACDC\Fly-On-The-Wall.txt,2.0,0.4182,"to, going, get, got, like, come, right, ready, well, know"
165,165,70er/ACDC\For-Those-About-To-Rock-(We-Salute-You).txt,2.0,0.5771,"to, going, get, got, like, come, right, ready, well, know"
166,166,70er/ACDC\Get-It-Hot.txt,2.0,0.5911,"to, going, get, got, like, come, right, ready, well, know"
167,167,70er/ACDC\Gimme-A-Bullet.txt,2.0,0.5992,"to, going, get, got, like, come, right, ready, well, know"
168,168,70er/ACDC\Girls-Got-Rhythm.txt,6.0,0.4395,"baby, come, want, get, let, wanna, girl, to, love, know"
169,169,70er/ACDC\Give-It-Up.txt,2.0,0.8446,"to, going, get, got, like, come, right, ready, well, know"
170,170,70er/ACDC\Given-The-Dog-A-Bone.txt,2.0,0.7962,"to, going, get, got, like, come, right, ready, well, know"
171,171,70er/ACDC\Go-Down.txt,5.0,0.4823,"get, know, say, good, tell, man, go, way, hey, time"
172,172,70er/ACDC\Go-Zone.txt,2.0,0.648,"to, going, get, got, like, come, right, ready, well, know"
173,173,70er/ACDC\Gone-Shootin'.txt,5.0,0.6451,"get, know, say, good, tell, man, go, way, hey, time"
174,174,70er/ACDC\Goodbye-&-Good-Riddance-To-Bad-Luck.txt,2.0,0.6456,"to, going, get, got, like, come, right, ready, well, know"
175,175,70er/ACDC\Got-Some-Rock-&-Roll-Thunder.txt,6.0,0.4223,"baby, come, want, get, let, wanna, girl, to, love, know"
176,176,70er/ACDC\Got-You-By-The-Balls.txt,2.0,0.4688,"to, going, get, got, like, come, right, ready, well, know"
177,177,70er/ACDC\Guns-For-Hire.txt,2.0,0.8114,"to, going, get, got, like, come, right, ready, well, know"
178,178,70er/ACDC\Hail-Caesar.txt,2.0,0.5761,"to, going, get, got, like, come, right, ready, well, know"
179,179,70er/ACDC\Hard-As-A-Rock.txt,2.0,0.56,"to, going, get, got, like, come, right, ready, well, know"
180,180,70er/ACDC\Hard-Times.txt,0.0,0.3572,"love, know, time, heart, want, way, feel, let, tell, life"
181,181,70er/ACDC\Have-A-Drink-On-Me.txt,5.0,0.4755,"get, know, say, good, tell, man, go, way, hey, time"
182,182,70er/ACDC\Heatseeker.txt,2.0,0.9629,"to, going, get, got, like, come, right, ready, well, know"
183,183,70er/ACDC\Hell-Ain't-A-Bad-Place-To-Be.txt,5.0,0.3549,"get, know, say, good, tell, man, go, way, hey, time"
184,184,70er/ACDC\Hell-Or-High-Water.txt,7.0,0.366,"lie, eye, light, cold, night, burn, die, high, soul, fire"
185,185,70er/ACDC\Hells-Bells.txt,7.0,0.6784,"lie, eye, light, cold, night, burn, die, high, soul, fire"
186,186,70er/ACDC\High-Voltage.txt,6.0,0.4304,"baby, come, want, get, let, wanna, girl, to, love, know"
187,187,70er/ACDC\Highway-To-Hell.txt,2.0,0.5406,"to, going, get, got, like, come, right, ready, well, know"
188,188,70er/ACDC\Hold-Me-Back.txt,5.0,0.6139,"get, know, say, good, tell, man, go, way, hey, time"
189,189,70er/ACDC\House-Of-Jazz.txt,5.0,0.7125,"get, know, say, good, tell, man, go, way, hey, time"
190,190,70er/ACDC\I-Put-The-Finger-On-You.txt,2.0,0.6173,"to, going, get, got, like, come, right, ready, well, know"
191,191,70er/ACDC\If-You-Want-Blood-(You-Got-It).txt,2.0,0.3745,"to, going, get, got, like, come, right, ready, well, know"
192,192,70er/ACDC\Inject-The-Venom.txt,6.0,0.38,"baby, come, want, get, let, wanna, girl, to, love, know"
193,193,70er/ACDC\It's-A-Long-Way-To-The-Top-(If-You-Wanna-Rock-'N'-Roll).txt,2.0,0.4099,"to, going, get, got, like, come, right, ready, well, know"
194,194,70er/ACDC\Jailbreak.txt,2.0,0.4432,"to, going, get, got, like, come, right, ready, well, know"
195,195,70er/ACDC\Kick-You-When-You're-Down.txt,5.0,0.7049,"get, know, say, good, tell, man, go, way, hey, time"
196,196,70er/ACDC\Kicked-In-The-Teeth.txt,5.0,0.4494,"get, know, say, good, tell, man, go, way, hey, time"
197,197,70er/ACDC\Kissin'-Dynamite.txt,2.0,0.5718,"to, going, get, got, like, come, right, ready, well, know"
198,198,70er/ACDC\Landslide.txt,2.0,0.5778,"to, going, get, got, like, come, right, ready, well, know"
199,199,70er/ACDC\Let's-Get-It-Up.txt,2.0,0.3784,"to, going, get, got, like, come, right, ready, well, know"
200,200,70er/ACDC\Let's-Make-It.txt,6.0,0.4695,"baby, come, want, get, let, wanna, girl, to, love, know"
201,201,70er/ACDC\Let-It-Loose.txt,5.0,0.5182,"get, know, say, good, tell, man, go, way, hey, time"
202,202,70er/ACDC\Let-Me-Put-My-Love-Into-You.txt,2.0,0.4104,"to, going, get, got, like, come, right, ready, well, know"
203,203,70er/ACDC\Let-There-Be-Rock.txt,3.0,0.3742,"little, man, boy, like, play, old, life, mother, song, sing"
204,204,70er/ACDC\Little-Lover.txt,6.0,0.3141,"baby, come, want, get, let, wanna, girl, to, love, know"
205,205,70er/ACDC\Live-Wire.txt,2.0,0.8562,"to, going, get, got, like, come, right, ready, well, know"
206,206,70er/ACDC\Love-At-First-Feel.txt,0.0,0.71,"love, know, time, heart, want, way, feel, let, tell, life"
207,207,70er/ACDC\Love-Bomb.txt,2.0,0.4908,"to, going, get, got, like, come, right, ready, well, know"
208,208,70er/ACDC\Love-Hungry-Man.txt,0.0,0.4674,"love, know, time, heart, want, way, feel, let, tell, life"
209,209,70er/ACDC\Love-Song.txt,0.0,0.6612,"love, know, time, heart, want, way, feel, let, tell, life"
210,210,70er/ACDC\Meanstreak.txt,5.0,0.5378,"get, know, say, good, tell, man, go, way, hey, time"
211,211,70er/ACDC\Meltdown.txt,2.0,0.5195,"to, going, get, got, like, come, right, ready, well, know"
212,212,70er/ACDC\Miss-Adventure.txt,6.0,0.4607,"baby, come, want, get, let, wanna, girl, to, love, know"
213,213,70er/ACDC\Mistress-For-Christmas.txt,5.0,0.4296,"get, know, say, good, tell, man, go, way, hey, time"
214,214,70er/ACDC\Money-Made.txt,5.0,0.4679,"get, know, say, good, tell, man, go, way, hey, time"
215,215,70er/ACDC\Money-Shot.txt,2.0,0.4496,"to, going, get, got, like, come, right, ready, well, know"
216,216,70er/ACDC\Moneytalks.txt,5.0,0.611,"get, know, say, good, tell, man, go, way, hey, time"
217,217,70er/ACDC\Nervous-Shakedown.txt,5.0,0.387,"get, know, say, good, tell, man, go, way, hey, time"
218,218,70er/ACDC\Nick-Of-Time.txt,2.0,0.3781,"to, going, get, got, like, come, right, ready, well, know"
219,219,70er/ACDC\Night-Of-The-Long-Knives.txt,1.0,0.5998,"la, hear, sing, lord, come, time, people, song, god, world"
220,220,70er/ACDC\Night-Prowler.txt,4.0,0.4484,"away, day, go, come, time, run, look, night, like, home"
221,221,70er/ACDC\No-Man's-Land.txt,4.0,0.5208,"away, day, go, come, time, run, look, night, like, home"
222,222,70er/ACDC\Overdose.txt,2.0,0.3879,"to, going, get, got, like, come, right, ready, well, know"
223,223,70er/ACDC\Play-Ball.txt,5.0,0.3834,"get, know, say, good, tell, man, go, way, hey, time"
224,224,70er/ACDC\Playing-With-Girls.txt,2.0,0.609,"to, going, get, got, like, come, right, ready, well, know"
225,225,70er/ACDC\Problem-Child.txt,2.0,0.4874,"to, going, get, got, like, come, right, ready, well, know"
226,226,70er/ACDC\R.I.P.-(Rock-In-Peace).txt,6.0,0.7567,"baby, come, want, get, let, wanna, girl, to, love, know"
227,227,70er/ACDC\Realize.txt,7.0,0.4289,"lie, eye, light, cold, night, burn, die, high, soul, fire"
228,228,70er/ACDC\Rejection.txt,2.0,0.5509,"to, going, get, got, like, come, right, ready, well, know"
229,229,70er/ACDC\Ride-On.txt,2.0,0.4587,"to, going, get, got, like, come, right, ready, well, know"
230,230,70er/ACDC\Riff-Raff.txt,2.0,0.4477,"to, going, get, got, like, come, right, ready, well, know"
231,231,70er/ACDC\Rising-Power.txt,4.0,0.3701,"away, day, go, come, time, run, look, night, like, home"
232,232,70er/ACDC\Rock-'N'-Roll-Ain't-Noise-Pollution.txt,6.0,0.4501,"baby, come, want, get, let, wanna, girl, to, love, know"
233,233,70er/ACDC\Rock-'N'-Roll-Damnation.txt,6.0,0.3182,"baby, come, want, get, let, wanna, girl, to, love, know"
